5.842440 0.000000 0.000000
0.875000 -2.125000 2.250000 Se
1.875000 -2.125000 2.250000 Se
2.875000 -2.125000 2.250000 Se
0.625000 -1.875000 0.750000 Se
1.625000 -1.875000 0.750000 Se
2.625000 -1.875000 0.750000 Se
0.625000 -0.875000 0.750000 Se
1.625000 -0.875000 0.750000 Se
2.625000 -0.875000 0.750000 Se
0.625000 -2.875000 0.750000 Se
1.625000 -2.875000 0.750000 Se
2.625000 -2.875000 0.750000 Se
0.625000 -1.875000 1.750000 Se
1.625000 -1.875000 1.750000 Se
2.625000 -1.875000 1.750000 Se
0.625000 -0.875000 1.750000 Se
1.625000 -0.875000 1.750000 Se
2.625000 -0.875000 1.750000 Se
0.625000 -2.875000 1.750000 Se
1.625000 -2.875000 1.750000 Se
2.625000 -2.875000 1.750000 Se
0.625000 -1.875000 2.750000 Se
1.625000 -1.875000 2.750000 Se
2.625000 -1.875000 2.750000 Se
0.625000 -0.875000 2.750000 Se
1.625000 -0.875000 2.750000 Se
2.625000 -0.875000 2.750000 Se
0.625000 -2.875000 2.750000 Se
1.625000 -2.875000 2.750000 Se
2.625000 -2.875000 2.750000 Se
0.125000 -1.375000 0.750000 Se
1.125000 -1.375000 0.750000 Se
2.125000 -1.375000 0.750000 Se
0.125000 -0.375000 0.750000 Se
1.125000 -0.375000 0.750000 Se
2.125000 -0.375000 0.750000 Se
0.125000 -2.375000 0.750000 Se
1.125000 -2.375000 0.750000 Se
2.125000 -2.375000 0.750000 Se
0.125000 -1.375000 1.750000 Se
1.125000 -1.375000 1.750000 Se
2.125000 -1.375000 1.750000 Se
0.125000 -0.375000 1.750000 Se
1.125000 -0.375000 1.750000 Se
2.125000 -0.375000 1.750000 Se
0.125000 -2.375000 1.750000 Se
1.125000 -2.375000 1.750000 Se
2.125000 -2.375000 1.750000 Se
0.125000 -1.375000 2.750000 Se
1.125000 -1.375000 2.750000 Se
2.125000 -1.375000 2.750000 Se
0.125000 -0.375000 2.750000 Se
1.125000 -0.375000 2.750000 Se
2.125000 -0.375000 2.750000 Se
0.125000 -2.375000 2.750000 Se
1.125000 -2.375000 2.750000 Se
2.125000 -2.375000 2.750000 Se
